data,importo,categoria,descrizione
06/05/2025,1700,"emergenza","iniziale"
06/05/2025,500,"salute","iniziale"
06/05/2025,500,"casa","iniziale"
06/05/2025,1500,"vacanze","iniziale"
06/05/2025,100,"yoga","iniziale"
06/05/2025,100,"sito","iniziale"
06/05/2025,1026,"regali","iniziale"
06/05/2025,65,"tasse","iniziale"
06/05/2025,75,"spese-comuni","iniziale"
2025-05-13,300,emergenza,"Accantonamento da jj"
2025-05-13,300,vacanze,"Accantonamento da jj"
2025-05-13,25,yoga,"Accantonamento da jj"
2025-05-13,25,sito,"Accantonamento da jj"
2025-05-13,50,tasse,"Accantonamento da jj"
2025-05-13,1300,spese-comuni,"Accantonamento da jj"
2025-05-13,8,iliad,"Accantonamento da jj"
